epoch,accuracy,dice_coef,learning_rate,loss,precision,recall,val_accuracy,val_dice_coef,val_loss,val_precision,val_recall
0,0.0,0.012646994553506374,9.999999747378752e-05,0.9874994158744812,0.012123232707381248,0.9679416418075562,0.0,0.008497484028339386,0.991502583026886,0.008976301178336143,0.9997391700744629
1,0.0,0.014309058897197247,9.999999747378752e-05,0.985924482345581,0.012352723628282547,0.9999592304229736,0.0,0.011586666107177734,0.9884101152420044,0.008337614126503468,0.9999549984931946
2,6.134576688054949e-05,0.02316693402826786,9.999999747378752e-05,0.9772208333015442,0.014086642302572727,0.8528338074684143,0.0,0.018918799236416817,0.9810349345207214,0.009771877899765968,0.7958137392997742
3,0.305917352437973,0.030163200572133064,9.999999747378752e-05,0.9701951742172241,0.015292990021407604,0.6636683344841003,0.4498651921749115,0.0195056963711977,0.9804015159606934,0.010096205398440361,0.6154821515083313
4,0.6360766887664795,0.03099682927131653,9.999999747378752e-05,0.9693523645401001,0.015770962461829185,0.5311594009399414,0.6299293637275696,0.01995813474059105,0.9799504280090332,0.010407514870166779,0.5205040574073792
5,0.6809974312782288,0.03097757138311863,9.999999747378752e-05,0.9693458080291748,0.015809576958417892,0.5158710479736328,0.6898280382156372,0.0200852882117033,0.9798343777656555,0.01052920613437891,0.4704919457435608
6,0.7066493034362793,0.03106018900871277,9.999999747378752e-05,0.9692867398262024,0.015884829685091972,0.48947036266326904,0.696065366268158,0.020011793822050095,0.9799056053161621,0.01044758316129446,0.47722917795181274
7,0.7472313642501831,0.03114544227719307,9.999999747378752e-05,0.9692047834396362,0.016231141984462738,0.40967270731925964,0.7084623575210571,0.02000041864812374,0.9799209833145142,0.010416842997074127,0.4978996813297272
8,0.69823157787323,0.030865129083395004,9.999999747378752e-05,0.9695049524307251,0.015714650973677635,0.5696359276771545,0.7084441184997559,0.01999170519411564,0.9799252152442932,0.010402651503682137,0.5076322555541992
9,0.7448161840438843,0.031029287725687027,9.999999747378752e-05,0.9693209528923035,0.015864798799157143,0.4733661413192749,0.7499980926513672,0.02019689790904522,0.9797385931015015,0.010588759556412697,0.4309229850769043
10,0.7913444638252258,0.030896997079253197,9.999999747378752e-05,0.9694727659225464,0.016433680430054665,0.34443533420562744,0.7039457559585571,0.01989683322608471,0.9800131320953369,0.010333697311580181,0.5254153609275818
11,0.629182755947113,0.030215369537472725,9.999999747378752e-05,0.9701619744300842,0.015300586819648743,0.6776791214942932,0.7029659152030945,0.01989511214196682,0.9800121188163757,0.010327644646167755,0.5291032791137695
12,0.7332194447517395,0.030981656163930893,9.999999747378752e-05,0.9693737626075745,0.015805883333086967,0.5126492381095886,0.7255175709724426,0.020016277208924294,0.9799096584320068,0.010416069068014622,0.4915222227573395
13,0.7511304020881653,0.031048228964209557,9.999999747378752e-05,0.9692981243133545,0.01589767262339592,0.46933314204216003,0.7479422092437744,0.020149575546383858,0.9797860980033875,0.010533370077610016,0.4487690329551697
14,0.7712486386299133,0.03125860542058945,9.999999747378752e-05,0.9690918922424316,0.016090400516986847,0.42192327976226807,0.7738560438156128,0.020266419276595116,0.9796857237815857,0.010634133592247963,0.3990177512168884
15,0.7853971123695374,0.031354691833257675,9.999999747378752e-05,0.9690002202987671,0.016161933541297913,0.40163981914520264,0.7800454497337341,0.020331358537077904,0.9796297550201416,0.0106568718329072,0.39353978633880615
16,0.790917694568634,0.03138181194663048,9.999999747378752e-05,0.9689760208129883,0.016183670610189438,0.3949723243713379,0.78658127784729,0.020422955974936485,0.979550302028656,0.010708586312830448,0.38468873500823975
17,0.795393705368042,0.03141883760690689,9.999999747378752e-05,0.9689456820487976,0.016215506941080093,0.38821861147880554,0.7926725745201111,0.02052273042500019,0.979458749294281,0.010775169357657433,0.3744254410266876
18,0.7985115051269531,0.031407956033945084,9.999999747378752e-05,0.9689606428146362,0.01621241681277752,0.38343751430511475,0.7973817586898804,0.020560430362820625,0.9794134497642517,0.010819772258400917,0.3653135299682617
19,0.8605442047119141,0.021335283294320107,9.999999747378752e-05,0.9784204959869385,0.016024881973862648,0.2475121021270752,0.9957553148269653,1.0552646158485292e-19,1.0,0.0,0.0
20,0.9936931729316711,4.347999280407124e-20,9.999999747378752e-05,1.0,0.0,0.0,0.9957553148269653,1.0552646158485292e-19,1.0,0.0,0.0
21,0.9936933517456055,4.347933364452061e-20,9.999999747378752e-05,1.0,0.0,0.0,0.9957553148269653,1.0552646158485292e-19,1.0,0.0,0.0
22,0.9936932921409607,4.3479692304864334e-20,9.999999747378752e-05,1.0,0.0,0.0,0.9957553148269653,1.0552646158485292e-19,1.0,0.0,0.0
23,0.9936934113502502,4.347953397732521e-20,9.999999747378752e-05,1.0,0.0,0.0,0.9957553148269653,1.0552646158485292e-19,1.0,0.0,0.0
24,0.9936934113502502,4.34799766481999e-20,9.999999747378752e-05,1.0,0.0,0.0,0.9957553148269653,1.0552646158485292e-19,1.0,0.0,0.0
25,0.9936932921409607,4.3479527514976677e-20,9.999999747378752e-05,1.0,0.0,0.0,0.9957553148269653,1.0552646158485292e-19,1.0,0.0,0.0
26,0.9936934113502502,4.3479895868843204e-20,9.999999747378752e-05,1.0,0.0,0.0,0.9957553148269653,1.0552646158485292e-19,1.0,0.0,0.0
27,0.9936932921409607,4.3479808627137974e-20,9.999999747378752e-05,1.0,0.0,0.0,0.9957553148269653,1.0552646158485292e-19,1.0,0.0,0.0
28,0.9936934113502502,4.3479676148992995e-20,9.999999747378752e-05,1.0,0.0,0.0,0.9957553148269653,1.0552646158485292e-19,1.0,0.0,0.0
29,0.9936932921409607,4.3479659993121656e-20,9.999999747378752e-06,1.0,0.0,0.0,0.9957553148269653,1.0552646158485292e-19,1.0,0.0,0.0
30,0.9936934113502502,4.3479983110548435e-20,9.999999747378752e-06,1.0,0.0,0.0,0.9957553148269653,1.0552646158485292e-19,1.0,0.0,0.0
31,0.9936932921409607,4.3479605063159104e-20,9.999999747378752e-06,1.0,0.0,0.0,0.9957553148269653,1.0552646158485292e-19,1.0,0.0,0.0
32,0.9936931729316711,4.347963737490178e-20,9.999999747378752e-06,1.0,0.0,0.0,0.9957553148269653,1.0552646158485292e-19,1.0,0.0,0.0
33,0.9936934113502502,4.347951135910534e-20,9.999999747378752e-06,1.0,0.0,0.0,0.9957553148269653,1.0552646158485292e-19,1.0,0.0,0.0
34,0.9936931729316711,4.348000249759404e-20,9.999999747378752e-06,1.0,0.0,0.0,0.9957553148269653,1.0552646158485292e-19,1.0,0.0,0.0
35,0.9936933517456055,4.3479866788274794e-20,9.999999747378752e-06,1.0,0.0,0.0,0.9957553148269653,1.0552646158485292e-19,1.0,0.0,0.0
36,0.9936935901641846,4.347997341702563e-20,9.999999747378752e-06,1.0,0.0,0.0,0.9957553148269653,1.0552646158485292e-19,1.0,0.0,0.0
37,0.9936933517456055,4.3479921718237347e-20,9.999999747378752e-06,1.0,0.0,0.0,0.9957553148269653,1.0552646158485292e-19,1.0,0.0,0.0
38,0.9936932921409607,4.3479472585014125e-20,9.999999747378752e-06,1.0,0.0,0.0,0.9957553148269653,1.0552646158485292e-19,1.0,0.0,0.0
39,0.9936932921409607,4.347971492308421e-20,9.999999974752427e-07,1.0,0.0,0.0,0.9957553148269653,1.0552646158485292e-19,1.0,0.0,0.0
40,0.9936934113502502,4.3479879712971865e-20,9.999999974752427e-07,1.0,0.0,0.0,0.9957553148269653,1.0552646158485292e-19,1.0,0.0,0.0
41,0.993693470954895,4.3479718154258476e-20,9.999999974752427e-07,1.0,0.0,0.0,0.9957553148269653,1.0552646158485292e-19,1.0,0.0,0.0
42,0.9936934113502502,4.347945319796852e-20,9.999999974752427e-07,1.0,0.0,0.0,0.9957553148269653,1.0552646158485292e-19,1.0,0.0,0.0
43,0.9936934113502502,4.347986032592626e-20,9.999999974752427e-07,1.0,0.0,0.0,0.9957553148269653,1.0552646158485292e-19,1.0,0.0,0.0
44,0.9936932921409607,4.347978277774383e-20,9.999999974752427e-07,1.0,0.0,0.0,0.9957553148269653,1.0552646158485292e-19,1.0,0.0,0.0
45,0.9936932921409607,4.3479747234826886e-20,9.999999974752427e-07,1.0,0.0,0.0,0.9957553148269653,1.0552646158485292e-19,1.0,0.0,0.0
46,0.9936931133270264,4.347953397732521e-20,9.999999974752427e-07,1.0,0.0,0.0,0.9957553148269653,1.0552646158485292e-19,1.0,0.0,0.0
47,0.9936931133270264,4.347981185831224e-20,9.999999974752427e-07,1.0,0.0,0.0,0.9957553148269653,1.0552646158485292e-19,1.0,0.0,0.0
48,0.9936933517456055,4.3479575982590694e-20,9.999999974752427e-07,1.0,0.0,0.0,0.9957553148269653,1.0552646158485292e-19,1.0,0.0,0.0
49,0.9936933517456055,4.347969876721287e-20,1.0000000116860974e-07,1.0,0.0,0.0,0.9957553148269653,1.0552646158485292e-19,1.0,0.0,0.0
